industry,ticker,variant,cagr,vol_ann,sharpe,max_dd,hit_rate,n_days,z_thr,cost_bps
Communication Services,XLC,long_only,0.0009999037888437368,0.021764262681564308,0.056815219232173475,-0.008090984252290823,0.03571428571428571,56,1.0,5
Communication Services,XLC,long_short,-0.08498550383287329,0.04816063386879602,-1.8196147575339237,-0.027208534074216306,0.05357142857142857,56,1.0,5
Consumer Cyclical,XLY,long_only,0.0007457846817289226,0.053569846349589896,0.040793250670666685,-0.01872340959512886,0.05660377358490566,53,1.0,5
Consumer Cyclical,XLY,long_short,0.0007457846817289226,0.053569846349589896,0.040793250670666685,-0.01872340959512886,0.05660377358490566,53,1.0,5
Energy,XLE,long_only,0.0,0.0,,0.0,0.0,28,1.0,5
Energy,XLE,long_short,0.0,0.0,,0.0,0.0,28,1.0,5
Financial Services,XLF,long_only,0.0,0.0,,0.0,0.0,38,1.0,5
Financial Services,XLF,long_short,0.0,0.0,,0.0,0.0,38,1.0,5
Healthcare,XLV,long_only,0.14263865577323354,0.04151498076034327,3.233292103073138,-0.0004999999999999449,0.043478260869565216,46,1.0,5
Healthcare,XLV,long_short,0.13494812932370714,0.042061354156357554,3.031195021556583,-0.0028887030256620205,0.06521739130434782,46,1.0,5
Industrials,XLI,long_only,0.0,0.0,,0.0,0.0,35,1.0,5
Industrials,XLI,long_short,0.0,0.0,,0.0,0.0,35,1.0,5
Real Estate,XLRE,long_only,0.0,0.0,,0.0,0.0,27,1.0,5
Real Estate,XLRE,long_short,0.0,0.0,,0.0,0.0,27,1.0,5
Utilities,XLU,long_only,0.0,0.0,,0.0,0.0,26,1.0,5
Utilities,XLU,long_short,0.0,0.0,,0.0,0.0,26,1.0,5
Technology,XLK,long_only,-0.029911291523459838,0.06143270387052684,-0.46341607495933,-0.02378064575611616,0.06329113924050633,79,1.0,5
Technology,XLK,long_short,0.142309461927419,0.14709736824627398,0.9762300892333546,-0.04679785368201905,0.08860759493670886,79,1.0,5
