token,direction,mean_impact_Q1,rank_Q1,window_Q1,mean_impact_Q2,rank_Q2,window_Q2,delta_rank
ces,neg,-0.012893519285630612,1,Q1,,26,,-25
innovation,neg,-0.012763663426520777,2,Q1,,26,,-24
chair,neg,-0.010648816251583416,3,Q1,,26,,-23
buy signals,neg,-0.009459451392127078,4,Q1,,26,,-22
additional,neg,-0.009401101610183699,5,Q1,,26,,-21
administration,neg,-0.009218977701265868,6,Q1,,26,,-20
consider,neg,-0.009138447178649705,7,Q1,,26,,-19
auto tariffs,neg,-0.009057049911876256,8,Q1,,26,,-18
revolution,neg,-0.009018836839665754,9,Q1,,26,,-17
significant downturn,neg,-0.008519633992784617,10,Q1,,26,,-16
corporation stock,neg,-0.0080986586960768,11,Q1,,26,,-15
new year,neg,-0.00809146532833888,12,Q1,,26,,-14
new york,neg,-0.007958670308210737,13,Q1,,26,,-13
buying opportunity,neg,-0.007899419274410934,14,Q1,,26,,-12
auto,neg,-0.0077849370771518565,16,Q1,,26,,-10
rigetti,neg,-0.007487518896962998,17,Q1,,26,,-9
consecutive day,neg,-0.007407830370258735,18,Q1,,26,,-8
taiwan,neg,-0.007204618436230186,19,Q1,,26,,-7
stocks tumble,neg,-0.006991362015208134,20,Q1,,26,,-6
sensex,neg,-0.006615690801124382,21,Q1,,26,,-5
stocks watch,neg,-0.006551148651147379,22,Q1,,26,,-4
ride,neg,-0.006500556941155523,23,Q1,,26,,-3
sentiment,neg,-0.006051098881418285,24,Q1,,26,,-2
driving markets,neg,-0.005956460717144406,25,Q1,,26,,-1
corporation read,neg,-0.007820214397785354,15,Q1,-0.0066869626375159,15,Q2,0
buy rating,neg,,26,,-0.0054910168976619825,25,Q2,1
new ceo,neg,,26,,-0.005826001276012508,24,Q2,2
crude,neg,,26,,-0.0058335214567760965,23,Q2,3
digested,neg,,26,,-0.0058452670766432685,22,Q2,4
apple nasdaq,neg,,26,,-0.005971073413997175,21,Q2,5
performance,neg,,26,,-0.00603572780625247,20,Q2,6
reports,neg,,26,,-0.0061169039928797245,19,Q2,7
war escalation,neg,,26,,-0.006145783075756933,18,Q2,8
buying,neg,,26,,-0.00637853499311338,17,Q2,9
jumped,neg,,26,,-0.006385541847488803,16,Q2,10
ceasefire,neg,,26,,-0.0067320563647395824,14,Q2,12
watching advanced,neg,,26,,-0.0070145214650607045,13,Q2,13
corporation nvidia,neg,,26,,-0.007499697789311814,12,Q2,14
jump,neg,,26,,-0.007722866466942779,11,Q2,15
buy stock,neg,,26,,-0.008121487722880641,10,Q2,16
peak,neg,,26,,-0.008841936110102328,9,Q2,17
ceo,neg,,26,,-0.011860090127416916,8,Q2,18
apple stock,neg,,26,,-0.012345459347366966,7,Q2,19
crude oil,neg,,26,,-0.014576668918878315,6,Q2,20
new,neg,,26,,-0.015330827517892843,5,Q2,21
ceo jensen,neg,,26,,-0.016060887455478057,4,Q2,22
apple nvidia,neg,,26,,-0.01918733175711741,3,Q2,23
concerns,neg,,26,,-0.023957024408877182,2,Q2,24
confidence,neg,,26,,-0.028249912226844007,1,Q2,25
chair,pos,0.014375456256510197,1,Q1,,26,,-25
revolution,pos,0.013988075838118534,2,Q1,,26,,-24
adding,pos,0.011366393969555596,3,Q1,,26,,-23
consecutive day,pos,0.010068728781550044,4,Q1,,26,,-22
innovation,pos,0.010013552849250982,5,Q1,,26,,-21
ces,pos,0.009551051129020546,6,Q1,,26,,-20
auto,pos,0.009382290881786737,7,Q1,,26,,-19
administration,pos,0.00928849937831751,8,Q1,,26,,-18
new york,pos,0.0084923477542264,10,Q1,,26,,-16
taiwan,pos,0.008270205691076228,11,Q1,,26,,-15
buy signals,pos,0.008131307981278755,12,Q1,,26,,-14
significant downturn,pos,0.007657404691453878,13,Q1,,26,,-13
new year,pos,0.007582980198440217,14,Q1,,26,,-12
auto tariffs,pos,0.007515069033454737,15,Q1,,26,,-11
corporation stock,pos,0.006895583948093292,16,Q1,,26,,-10
stocks watch,pos,0.006883692028629287,17,Q1,,26,,-9
buying opportunity,pos,0.006846253065236824,18,Q1,,26,,-8
consider,pos,0.00672339756246627,19,Q1,,26,,-7
stocks tumble,pos,0.006653617222433048,20,Q1,,26,,-6
sentiment,pos,0.006534713664421742,21,Q1,,26,,-5
initial public,pos,0.006382122697812878,22,Q1,,26,,-4
initially,pos,0.006381540728707909,23,Q1,,26,,-3
sensex,pos,0.006126083140329214,24,Q1,,26,,-2
corporation read,pos,0.009184609717545858,9,Q1,0.009568198141232692,10,Q2,-1
fluctuations,pos,0.005848607932565577,25,Q1,,26,,-1
peak,pos,,26,,0.005237749116768035,25,Q2,1
corporation nvidia,pos,,26,,0.0052413420133591605,24,Q2,2
buying,pos,,26,,0.0054567602051033455,23,Q2,3
buy rating,pos,,26,,0.005500013084375559,22,Q2,4
stock picks,pos,,26,,0.005501299921752629,21,Q2,5
current,pos,,26,,0.006014818800226112,20,Q2,6
apple nasdaq,pos,,26,,0.006254948359120284,19,Q2,7
jump,pos,,26,,0.006691200287600202,18,Q2,8
did,pos,,26,,0.006725525372523742,17,Q2,9
wave,pos,,26,,0.006989755446826265,16,Q2,10
network,pos,,26,,0.007151188010583912,15,Q2,11
jumped,pos,,26,,0.007370080835663882,14,Q2,12
buy stock,pos,,26,,0.008108203678128898,13,Q2,13
new ceo,pos,,26,,0.008179639507309077,12,Q2,14
crude,pos,,26,,0.008561850118652292,11,Q2,15
crude oil,pos,,26,,0.009931651422085793,9,Q2,17
performance,pos,,26,,0.010189017925658591,8,Q2,18
new,pos,,26,,0.010919481304984224,7,Q2,19
ceo,pos,,26,,0.01191023199747556,6,Q2,20
apple stock,pos,,26,,0.012932383397997127,5,Q2,21
ceo jensen,pos,,26,,0.015993271397957923,4,Q2,22
apple nvidia,pos,,26,,0.01831653276136427,3,Q2,23
confidence,pos,,26,,0.024796983158996037,2,Q2,24
concerns,pos,,26,,0.02729299094279576,1,Q2,25
